name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
Pan focaccia rosmarino Schär sin gluten y sin lactosa 200 g.,"4,35 €",5 g,239 Kcal,1007 KJ,1 g,41 g,3.5 g
Tallarines formaggio Extra Carrefour 190 g.,"1,30 €",4.5 g,359.0 Kcal,1518.0 KJ,3.0 g,67.0 g,12.0 g
Flan de huevo al baño María Dhul sin lactosa pack de 4 unidades de 110 g.,"2,95 €",4.1 g,153 Kcal,643 KJ,0.17 g,24 g,4.9 g
Bolsita de multifrutas desde 6 meses Nestlé sin gluten y sin azúcar añadido 90 g.,"1,25 €",0.2 g,72 Kcal,306 KJ,0.03 g,16.0 g,0.7 g
Chocolate con leche relleno de mousse de avellana sin azúcar añadido Valor sin gluten 150 g.,"2,99 €",36 g,494 Kcal,2069 KJ,0.19 g,49 g,8.1 g
Mantequilla Carrefour 250 g.,"2,45 €",83 g,754 Kcal,3100 KJ,0.05 g,1.1 g,0.6 g
Queso cheddar tierno en porciones Mini Babybel sin lactosa 120 g.,"2,79 €",31 g,371 Kcal,1540 KJ,1.8 g,0.5 g,23 g
Tartufo Carrefour Original pack de 2 unidades de 80 g.,"1,43 €",13.0 g,304 Kcal,1272 KJ,0.18 g,38.0 g,5.1 g
Baguetinas pan Maheso pack de 4 unidades de 125 g.,"3,69 €",1.0 g,248 Kcal,1051 KJ,1.5 g,50.1 g,8.2 g
Queso tierno mini El Ventero 550 g,"10,90 €",32 g,376 Kcal,1558 KJ,1.4 g,1 g,21 g
Bonito del norte en escabeche Consorcio 80 g.,"2,85 €",3.6 g,143.0 Kcal,604.0 KJ,0.9 g,0.7 g,27.0 g
Cereales crunchy 2 chocolates sabor caramelo Carrefour 500 g.,"3,29 €",18 g,470 Kcal,1974 KJ,0.35 g,67 g,8.2 g
Cola de caballo en cápsulas Vive+ 50 ud.,"5,35 €",0.3 g,22.3 Kcal,92.92 KJ,0 g,3.7 g,1.2 g
Helado de chocolate ecológico Carrefour Bio 450 g.,"4,75 €",8.8 g,196 Kcal,819 KJ,0.11 g,24 g,3.7 g
Coquina 250 g,"4,39 €",0.79 g,75 Kcal,314 KJ,0.17 g,1.22 g,14.82 g
Tarta infantil 1 kg,"12,90 €",20 g,353 Kcal,1475 KJ,0.233 g,38 g,4.2 g
Queso Mimolette francés Reflets de France 200 g,"5,59 €",29 g,381 Kcal,1582 KJ,3.1 g,1.9 g,30 g
Tocino de cerdo salado Carrefour 300 g aprox,"2,10 €",72.90 g,753.3 Kcal,3129.1 KJ,3.65 g,0.8 g,1.26 g
Chorizo Pamplona en lonchas Revilla sin gluten 65 g,"0,99 €",39 g,439 Kcal,1817 KJ,3.5 g,3 g,19 g
Edulcorante líquido de Stevia Classic Carrefour 200 ml.,"3,85 €",0 g,0 Kcal,0 KJ,0 g,0 g,0 g
Pistachos tostados y salados Wonderful 220 g.,"7,39 €",46 g,590 Kcal,2445 KJ,2 g,18 g,21 g
Galletas Infantiles desde 10 meses Nestlé PequeGalletas sin aceite de palma 180 g.,"3,55 €",13.0 g,442 Kcal,1858 KJ,0.02 g,72.2 g,6.7 g
Maletín de Jamón de Cebo Ibérico 50% Raza Ibérica en lonchas Carrefour El Mercado 10 sobres de 70 g,"49,00 €",24.3 g,330 Kcal,1372 KJ,4.3 g,0.5 g,27.8 g
Conos con helado a base de soja con cobertura de chocolate y avellana Sensation Carrefour sin gluten 4 ud.,"3,99 €",16 g,313 Kcal,1309 KJ,0.08 g,38 g,3.6 g
Café molido mezcla intenso La Estrella 250 g.,"2,75 €",10.6 g,228 Kcal,932 KJ,0.01 g,0.3 g,10.1 g
Aceite de oliva virgen extra arbequina Coosur 1 l.,"14,49 €",91.0 g,822 Kcal,3381 KJ,0 g,0 g,0 g
Pechuga de pavo en lonchas Un Momento y Listo Serrano sin gluten sin lactosa 200 g.,"2,99 €",2 g,98 Kcal,416 KJ,2.6 g,8 g,12 g
Bocados mediterraneo de Heüra sin gluten 160 g.,"4,05 €",6.2 g,161.0 Kcal,668.0 KJ,,2.2 g,19.0 g
Tarrito de pera y manzana desde 4 meses ecológico Hero Solo sin gluten pack de 6 unidades de 120 g.,"9,95 €",0.1 g,45 Kcal,190 KJ,0.02 g,10 g,0.3 g
Barritas de cereales con avellanas Corny pack 6 unidades de 25 g.,"2,49 €",16 g,429 Kcal,1802 KJ,0.62 g,63 g,6.4 g
Mermelada de fresa La Vieja Fábrica sin gluten 350 g.,"3,25 €",0 g,215 Kcal,913 KJ,0 g,52 g,0.5 g
Relleno para burritos con carne y verduras Old El Paso 300 g.,"3,69 €",5 g,90 Kcal,374 KJ,0.52 g,4.6 g,5.7 g
Boquerones en aceite de oliva virgen extra procedente de pesca sostenible Carrefour 80 g.,"3,59 €",6.2 g,147 Kcal,617 KJ,3.70 g,0.7 g,22.1 g
Bombón Calssic Ferrero Rocher 4 ud.,"5,19 €",28.9 g,395 Kcal,1640 KJ,0.163 g,26.7 g,5.9 g
Queso mozzarella en lonchas Carrefour 200 g.,"1,70 €",21 g,293 Kcal,1219 KJ,1 g,1 g,25 g
Café latte cappuccino Nescafé sin gluten 205 ml.,"1,46 €",1.6 g,67 Kcal,282 KJ,0.19 g,9.8 g,3.1 g
Sirope de Agave ecológica Azucarera 360 g.,"3,49 €",0 g,284 Kcal,1207 KJ,0 g,69 g,0 g
Queso curado viejo light Old Amsterdam cuña 230 g,"6,79 €",23.4 g,318 Kcal,1321 KJ,2 g,0 g,26.8 g
Queso havarti en lonchas Arla 150 g.,"3,09 €",38 g,422 Kcal,1746 KJ,2 g,0.5 g,19 g
Salsa de soja dulce King Tiger 250 ml.,"2,09 €",0 g,69 Kcal,294 KJ,12 g,13 g,4.3 g
Bollos con pasas sultanas Haywood & Padget 500 g.,"5,59 €",11 g,293 Kcal,1231 KJ,,43 g,5.1 g
Pizza vegana con Heura Coliflow 375 g,"4,99 €",1.2 g,125 Kcal,577 KJ,0.2 g,24 g,5.7 g
Patatas fritas sabor Campesina Carrefour 150 g.,"1,15 €",30 g,519 Kcal,2165 KJ,1.1 g,51 g,8.4 g
Aceite de sésamo ecológico La Masía 250 ml.,"3,85 €",100 g,900 Kcal,3700 KJ,0 g,0 g,0 g
Paté de hígado de cerdo Tapa Negra La Piara 225 g.,"3,89 €",24 g,269 Kcal,1111 KJ,1.7 g,1.4 g,11 g
Atún claro en aceite de girasol Carrefour Classic pack de 3 latas de 52 g.,"2,19 €",5.9 g,153 Kcal,643 KJ,1.5 g,0.5 g,25 g
Alubias a la riojana Original Carrefour sin gluten 420 g.,"1,70 €",5.4 g,113 Kcal,472 KJ,0.8 g,9 g,5.4 g
Sandwich de nata Carrefour 6 ud.,"1,65 €",4.9 g,155.0 Kcal,652.0 KJ,0.15 g,25.1 g,2.4 g
Fideos orientales sabor barbacoa Yatekomo Gallina Blanca 82 g.,"1,27 €",6.4 g,171 Kcal,717 KJ,1.3 g,24 g,3.8 g
Crema de calabacín con queso de cabra Knorr 500 ml.,"2,49 €",2.1 g,45 Kcal,187 KJ,0.64 g,5.4 g,0.8 g
Sandara Blanco Espumoso Blanco,"6,59 €",0.0 g,73.0 Kcal,307.0 KJ,0.1 g,7.0 g,0.1 g
Alubia cocida sin sal añadida ecológica Carrefour Bio 400 g.,"2,85 €",0 g,82 Kcal,346 KJ,0.04 g,11 g,6.4 g
Salchichón de Bellota Ibérico en lonchas Dompal 80 g,"3,25 €",35.58 g,444.1 Kcal,1850.42 KJ,3.76 g,3 g,27.97 g
Leche evaporada 4% materia grasa Ideal Nestlé sin lactosa 525 g.,"2,95 €",4.0 g,109 Kcal,460 KJ,0.22 g,11.0 g,7.4 g
Pizza de barbacoa pulled pork Casa di Mama Dr. Oetker 405 g.,"4,59 €",4.1 g,196 Kcal,827 KJ,1.2 g,29 g,9.1 g
Empanadillas de atún Recetas Artesanas La Cocinera 312 g.,"5,05 €",14.0 g,262 Kcal,1095 KJ,0.91 g,27 g,5.9 g
Zumo de tomate picante Big Tom botella 25 cl.,"2,19 €",0.1 g,18 Kcal,72 KJ,1 g,4 g,0.6 g
Queso provolone con orégano Auricchio Hispano Italiana 200 g,"4,49 €",27.0 g,335.0 Kcal,1392.0 KJ,1.5 g,0.5 g,23.0 g
Cerveza Desperados con tequila botella 33 cl.,"1,32 €",0 g,59 Kcal,247 KJ,0.01 g,6.30 g,0 g
Bebida de soja sin azúcar añadido ecológica Carrefour Bio sin gluten Brik 1 l.,"1,58 €",2 g,39 Kcal,162 KJ,0.05 g,16 g,3.6 g
Paté Ibérico Carrefour El Mercado sin gluten 100 g,"1,55 €",23.0 g,260.0 Kcal,1076.0 KJ,1.8 g,2.1 g,11.0 g
Fideos orientales de pollo al curry Sensation Carrefour 65 g.,"0,85 €",22.6 g,512.0 Kcal,2147.0 KJ,5.0 g,64.0 g,11.9 g
"Cerveza San Miguel 0,0 sin alcohol Lager pack de 12 latas de 33 cl.","7,99 €",0 g,24 Kcal,102 KJ,0.01 g,5.6 g,0.3 g
Aceitunas verdes rellenas de jalapeño Pícaras La Española sin gluten 130 g.,"3,15 €",13.8 g,142 Kcal,585 KJ,3.2 g,0.5 g,2.1 g
Proteína en polvo sabor vainilla Gold Whey Weider doy pack 500 g.,"32,20 €",6.0 g,392.0 Kcal,1661.0 KJ,0.9 g,7.4 g,77.0 g
Reign Razzle Berry Bebida Energética sabor frambuesa lata 50 cl.,"1,99 €",0 g,3 Kcal,14 KJ,0.11 g,0.9 g,0.2 g
Fuet snack original King upp El Pozo 40 g,"0,99 €",36 g,459 Kcal,1920 KJ,5 g,3.5 g,30 g
"Zumo de piña, manzana y uva Carrefour pack de 6 briks de 20 cl.","1,35 €",0.5 g,49 Kcal,205.15 KJ,0.01 g,12 g,0.5 g
"Bolsita de manzana, plátano y zanahoria ecológico Hero Solo sin gluten 100 g.","1,68 €",0.3 g,58 Kcal,244 KJ,0.07 g,12.0 g,0.8 g
Avena suave integral ecológica Oatibix 500 g.,"2,75 €",5.7 g,347 Kcal,1462 KJ,0.01 g,57.6 g,10.9 g
Pizza de jamón y queso Casa Tarradellas 405 g.,"3,29 €",7.5 g,224 Kcal,944 KJ,1.5 g,25.2 g,14.0 g
Aceite de oliva virgen extra De Nuestra Tierra 500 ml.,"7,65 €",100 g,900 Kcal,3768 KJ,0 g,0 g,0 g
Ensalada pasta y rúcula Carrefour 335 g,"3,29 €",11 g,193 Kcal,805 KJ,0.72 g,16 g,6.5 g
Piccolinis jamón y queso Buitoni 270 g.,"4,25 €",7.4 g,227 Kcal,956 KJ,0.96 g,28.3 g,10.9 g
Habitas extrafinas en aceite de oliva De Nuestra Tierra 230 g.,"6,09 €",4.4 g,72 Kcal,300 KJ,0.5 g,2.8 g,3.6 g
Bebida de café espresso sin azúcar añadido Skinny Latte Starbucks sin lactosa 220 ml.,"2,15 €",0.9 g,35.0 Kcal,149.0 KJ,0.09 g,4.0 g,2.8 g
Papilla infantil desde 6 meses 8 cereales con galleta maría Nestlé sin azúcar añadido 950 g.,"6,85 €",4.8 g,398 Kcal,1684 KJ,0.11 g,74.5 g,12.0 g
Aperitivo vegetal gusetos ecológico EcoCesta 60 g.,"2,19 €",13.3 g,436 Kcal,1825 KJ,1.6 g,78.8 g,5.1 g
Barritas de chocolate y naranja Bimanán 186 g.,"6,55 €",12 g,383 Kcal,1606 KJ,0.75 g,45 g,24 g
Helado proteico y con probióticos de vainilla Madagascar con caramelo Proasis 375 g.,"6,45 €",4.0 g,147.0 Kcal,618.0 KJ,0 g,19.0 g,8.0 g
Azúcar blanco Carrefour 1 kg.,"1,45 €",0 g,400 Kcal,1700 KJ,0 g,100 g,0 g
Aceitunas rellenas de limón El Torreón 130 g.,"1,85 €",15 g,142.6 Kcal,587.3 KJ,3.5 g,0.5 g,1.4 g
Chili con carne Sensation Carrefour sin gluten 418 g.,"2,65 €",2.7 g,89 Kcal,375 KJ,1 g,7 g,7.8 g
Sal marina gruesa ecológica Ecocesta 1 kg.,"2,25 €",0 g,0 Kcal,0 KJ,39 g,0 g,0 g
Cerveza 1906 tipo Irish Red Ale pack 6 botellas 33 cl.,"7,55 €",0 g,47 Kcal,196 KJ,0 g,4.5 g,0.6 g
Panko breadcrumbs Blue Dragon 120 g.,"3,79 €",1.2 g,959.0 Kcal,959.0 KJ,0.5 g,46.0 g,7.1 g
Palmeritas Classic' Carrefour sin lactosa 270 g.,"1,29 €",29.0 g,519.0 Kcal,2170.0 KJ,0.83 g,58.0 g,5.5 g
Caramelo con palo y chicle sabor cereza Fiesta 7 ud.,"2,29 €",,351 Kcal,1468 KJ,,88.1 g,
Barrita de barquillo cubierta de chocolate XL Huesitos Valor 230 g.,"2,99 €",26 g,506 Kcal,2116 KJ,0.24 g,62 g,6.2 g
Leche desnatada 0% MG con calcio Pascual brik 1 l.,"1,82 €",0.3 g,41 Kcal,173 KJ,0.2 g,5.6 g,3.9 g
Carne picada vegana The Vegetarian Butcher 200 g,"4,49 €",0.5 g,143 Kcal,600 KJ,1.3 g,3.1 g,24 g
Bonito del norte en aceite de oliva con trufa Extra Carrefour 130 g.,"5,85 €",25.3 g,323 Kcal,1339 KJ,0.7 g,0 g,23.7 g
Robinsons de naranja sin gas sin azúcar añadido 1 l.,"2,49 €",0 g,6.9 Kcal,30 KJ,0.10 g,0.6 g,0.2 g
Zumo de uva roja ecológico Delizum botella 1 l.,"1,99 €",0.1 g,65 Kcal,278 KJ,0 g,15.9 g,0.2 g
Cecina en lonchas De Nuestra Tierra 150 g,"5,69 €",12 g,259 Kcal,1087 KJ,3.8 g,0 g,38 g
Barrita alta en proteínas sabor stracciatella Just Loading sin aceite de palma pack de 3 unidades de 30 g.,"3,25 €",9.7 g,365 Kcal,1538 KJ,0.34 g,43 g,30 g
Tortitas con canela Inés Rosales 180 g.,"1,78 €",26 g,511 Kcal,2138 KJ,0.15 g,62 g,6.7 g
Café en grano mezcla Marcilla Gran Aroma 1 kg.,"17,15 €",12 g,332 Kcal,1370 KJ,0.02 g,16 g,17 g
Cerveza Mahou 5 Estrellas especial pack de 28 latas de 33 cl.,"22,49 €",0 g,49 Kcal,205 KJ,0 g,3.9 g,0.4 g
Bífidus desnatado edulcorado natural Danone Activia pack de 4 unidades de 120 g.,"2,79 €",0.4 g,51 Kcal,215 KJ,0.15 g,7.0 g,3.9 g
Callos a la madrileña Original Carrefour sin gluten 380 g.,"2,29 €",14 g,199 Kcal,828 KJ,0.9 g,1.7 g,16 g
Tarta tatin ultacongelada Carrefour 600 g.,"6,49 €",8.4 g,221 Kcal,930 KJ,0.15 g,34 g,1.6 g
Aceitunas negras sin hueso Carbonell 150 g.,"2,19 €",100 g,156 Kcal,641 KJ,0 g,0 g,0 g
Bombón helado con nueces pecanas de Texas y chocolate blanco con caramelo Nuii 3 ud.,"5,25 €",23 g,374 Kcal,1560 KJ,0.4 g,36 g,5.2 g
Palmera supremas Carrefour 4 ud,"3,25 €",35 g,526.2 Kcal,2192.2 KJ,0.76 g,47.2 g,5.16 g
Gofre azucarado Classic' Carrefour pack de 6 unidades de 55 g.,"2,79 €",23 g,453 Kcal,1894 KJ,1 g,54 g,6 g
Tinta de sepia Carrefour Classic' sin gluten pack de 4 unidades de 4 g.,"0,95 €",0.5 g,69 Kcal,290 KJ,9 g,8.8 g,7.4 g
Panecillos ajo y perejil Carrefour Sensation 160 g.,"1,17 €",22 g,482 Kcal,2020 KJ,1.2 g,61 g,8.3 g
Tomate frito ecológico Hida sin gluten tarro 350 g.,"2,45 €",5.1 g,94.0 Kcal,392.0 KJ,0.5 g,9.3 g,2.0 g
Salchichas cubiertas de hojaldre horneadas Pukka Pies 170 g.,"2,35 €",19.1 g,311 Kcal,1294 KJ,1.42 g,24.9 g,8.2 g
Chocolate negro con sésamo tostado Lindt Excellence 100 g.,"3,25 €",33 g,534 Kcal,2224 KJ,0.07 g,48 g,7 g
Placas de lasaña y canelones frescas al huevo Carrefour Original 250 g.,"1,54 €",2.4 g,279 Kcal,1181 KJ,0.06 g,52 g,11 g
Alubia blanca ecológica Pedro Luis 250 g.,"2,05 €",0.5 g,76.8 Kcal,323.5 KJ,0.9 g,11.3 g,5 g
Tarta de Almendra 580 g,"7,25 €",28.4 g,482 Kcal,2013 KJ,0.388 g,48.2 g,8.4 g
Fabada asturiana De Nuestra Tierra 380 g.,"5,25 €",9 g,154 Kcal,643 KJ,1.3 g,7.4 g,8.7 g
Jamón de pavo bajo en grasa sin azúcares El Pozo Bienstar sin gluten y sin lactosa 380 g,"3,79 €",2.5 g,78.5 Kcal,330.5 KJ,1.8 g,2 g,12 g
Salsa curry y mango Heinz envase 220 ml.,"2,75 €",0.1 g,104.0 Kcal,595.0 KJ,2.2 g,33.0 g,0.8 g
Almendras tostadas sin sal añadida Carrefour 200 g.,"2,79 €",56 g,633 Kcal,2616 KJ,0.03 g,3 g,24 g
Ginger Ale Schweppes botella 20 cl.,"1,16 €",0.0 g,19 Kcal,83 KJ,0.01 g,4.6 g,0.0 g
Pan integral de hamburguesa maxi Classic' Carrefour 4 ud.,"1,64 €",7.2 g,287 Kcal,1204 KJ,0.98 g,37 g,13 g
Caramelos blandos Mastistick Miguelañez 90 g.,"1,99 €",1.6 g,379 Kcal,1607 KJ,0.133 g,91 g,0 g
Queso ricotta Galbani 250 g.,"3,39 €",12 g,164 Kcal,682 KJ,0.40 g,6.3 g,8.0 g
Postre lácteo de proteínas sabor stracciatella Danone Yopro sin gluten pack de 2 unidades de 160 g.,"2,69 €",0.5 g,56 Kcal,234 KJ,0.10 g,3.5 g,9.4 g
Chopped con vacuno en lonchas Campofrío sin gluten 105 g.,"0,99 €",12 g,178 Kcal,742 KJ,2.4 g,6.5 g,11 g
Croissants rellenos de crema de cacao Classic' Carrefour 360 g.,"1,85 €",31 g,498 Kcal,2075 KJ,0.61 g,48 g,5.7 g
Galletas con pepitas de chocolate extra tiernas Chips Ahoy 182 g.,"4,09 €",25 g,482 Kcal,2015 KJ,0.74 g,60 g,4.6 g
"Tarrito de manzana, pera y melocotón desde 4 meses sin azúcar añadido Mi Menú sin gluten pack de 2 unidades de 200 g.","2,15 €",0 g,53 Kcal,225 KJ,0.03 g,12 g,0.5 g
Gallo limpio congelado Extra Carrefour 600 g.,"6,25 €",1.9 g,81 Kcal,339 KJ,0.38 g,0 g,15.8 g
Pizza salami ligeramente picante Forno di Pietra Buitoni 300 g.,"3,65 €",9 g,239 Kcal,1005 KJ,0.95 g,29.6 g,9 g
Vermut Zarro reserva especial 1 l.,"8,99 €",0.5 g,154 Kcal,644 KJ,0.02 g,12.3 g,1 g
Tónica Nordic Mist botella 1 l.,"1,76 €",0 g,32.0 Kcal,138.0 KJ,0 g,7.8 g,0 g
Gusanitos con fresa y plátano ecológicos Smileat sin gluten 25 g.,"1,53 €",9.6 g,431 Kcal,1820 KJ,0.068 g,79 g,6.6 g
Petit sabor fresa y plátano Danone Danonino sin gluten pack de 6 unidades de 50 g.,"1,44 €",2.3 g,89 Kcal,373 KJ,0.11 g,11.0 g,6.1 g
Canelones de carne Carretilla sin aceite de palma 375 g.,"3,99 €",8.2 g,131 Kcal,584 KJ,1.08 g,10.6 g,3.8 g
Llangostinos rebozados Clavo 400 g.,"4,15 €",3.4 g,170 Kcal,717 KJ,1.5 g,27 g,7.8 g
Saku aún de aleta amarilla congelado marinado Petaca Chico 300 g aprox,"10,93 €",0.9 g,119 Kcal,506 KJ,0.39 g,2.8 g,25 g
"La Casera de naranja zero azucares añadidos pack de 2 botellas de 1,5 l.","1,93 €",0.0 g,1.5 Kcal,6.4 KJ,0.08 g,0.1 g,0.0 g
Pasta de letras Gallo 450 g.,"1,45 €",2 g,344 Kcal,1458 KJ,0.03 g,68 g,12 g
"Jamón de Bellota Ibérico 50% Raza Ibérica Nobleza Extremeña Villar pieza de 7,5 kg aprox","249,00 €",32 g,404 Kcal,1677 KJ,4.4 g,0 g,29 g
Cocktail de picos de pan integrales Carrefour El Mercado 500 g,"2,69 €",6.1 g,398 Kcal,1680 KJ,2.2 g,73 g,10 g
Helado de fresas y crema Häagen Dazs sin gluten 460 ml.,"6,99 €",15.5 g,244 Kcal,1023 KJ,0.15 g,22.2 g,3.9 g
Caldo de pollo desgrasado Carrefour 12 pastillas de 10 g.,"0,99 €",4.2 g,213 Kcal,900 KJ,45 g,37 g,6.5 g
Cacahuete cubierto de chocolate con leche Conguitos sin gluten doy pack 220 g.,"3,35 €",31.9 g,535 Kcal,2231 KJ,0.08 g,48.2 g,11.7 g
Langostino cocido congelado (30/40 ud) Pescatrade 900 g,"9,95 €",1.4 g,93 Kcal,389.37 KJ,1.5 g,0 g,20 g
Verduras para wor Classic´ Carrefour 1 kg.,"4,29 €",,59 Kcal,249 KJ,0.02 g,10 g,2.8 g
Yogur colado desnatado natural receta griega sin azúcar añadido Fage Total 1 kg.,"5,49 €",0 g,54 Kcal,230 KJ,0.1 g,3 g,10.3 g
Chocolate con leche Crispy Lindt 125 g.,"2,75 €",29 g,526 Kcal,2197 KJ,0.28 g,58 g,7 g
"Tinto de verano con limón La Casera botella 1,5 l.","2,29 €",0.0 g,31 Kcal,127 KJ,0.08 g,1.8 g,0.0 g
Boquerón en vinagre 60 g,"1,79 €",7 g,643 Kcal,153 KJ,6 g,0.8 g,21.8 g
Anchodina Carrefour El Mercado 100 g,"4,75 €",16 g,234 Kcal,973 KJ,4.3 g,1.4 g,21 g
Pechuga de Pavo braseado en lonchas Campofrío Finissimas sin gluten y sin lactosa 170 g,"3,00 €",1 g,86 Kcal,363 KJ,1.8 g,2.2 g,17 g
Pizza de pepperoni Carrefour Classic' 410 g.,"2,69 €",14 g,286 Kcal,1195 KJ,2.4 g,26 g,13 g
Harina de maiz fina sin gluten Carrefour 400 g.,"1,20 €",0.1 g,346 Kcal,1471 KJ,0.01 g,86 g,0.5 g
Croissant mini bañados al cacao Classic' Carrefour 150 g.,"1,50 €",30.0 g,499.0 Kcal,2083.0 KJ,1.0 g,50.0 g,6.0 g
Salsa carbonara Carrefour sobre 40 g.,"1,50 €",18 g,403 Kcal,1687.28 KJ,14.8 g,40 g,20 g
"Barrita de frutas con frutos secos y frambuesas Nakd sin gluten, sin lactosa y sin azúcar añadido 140 g.","3,15 €",14.8 g,388.0 Kcal,1629.0 KJ,0.02 g,52.0 g,8.6 g
Fideos orientales teriyaki Fusian Maggi 130 g.,"2,25 €",3.2 g,360 Kcal,1523 KJ,3.1 g,66.2 g,13.8 g
Papilla infantil desde 6 meses 8 cereales galleta Hero Baby sin azúcar añadido 820 g.,"7,69 €",2.3 g,379 Kcal,1603 KJ,0.03 g,75 g,12 g
Tomate troceado Napolina 400 g.,"1,89 €",0.2 g,23 Kcal,99 KJ,,3.6 g,1.3 g
Crema de queso con trufa Extra Carrefour 125 g.,"1,59 €",22 g,259 Kcal,1074 KJ,1.7 g,2.6 g,12.7 g
Pizza carbonara Pizza & Salsa Campofrío 360 g.,"2,99 €",11 g,291 Kcal,1223 KJ,1.8 g,38 g,10 g
Gelatina sabor frutos rojos Proteína Plus 0% materia grasa Carrefour sin gluten pack de 4 unidades de 100 g.,"1,55 €",0 g,30 Kcal,126 KJ,0 g,1.4 g,6 g
Jamón Cocido Extra en finas lonchas Casa Tarradellas sin gluten y sin lactosa 150 g,"2,19 €",2.5 g,101 Kcal,424 KJ,1.9 g,0.9 g,18.6 g
Caramelos sabor menta sin azúcar Smint sin gluten pack de 3 paquetes de 8 g.,"2,95 €",1.1 g,253 Kcal,1058 KJ,0.34 g,95 g,0 g
Tónica Schweppes zero lata 25 cl.,"0,85 €",0.0 g,2 Kcal,8 KJ,0.05 g,0.0 g,0.0 g
Hogaza de pan grande ecológica Carrefour Bio 800 g aprox,"3,05 €",0.9 g,257 Kcal,1088 KJ,0.91 g,52 g,8.8 g
Almendras bañadas en chocolate negro Extra Carrefour sin gluten doy pack 200 g.,"3,45 €",40 g,552 Kcal,2296 KJ,0 g,35 g,11 g
Chocolate con leche extrafino galleta y caramelo Xtreme Galleta Nestlé 87 g,"1,19 €",26.8 g,510 Kcal,2131 KJ,0.31 g,61.2 g,4.7 g
Zumo tropical Capri Sun 20 cl.,"0,74 €",0 g,33 Kcal,140 KJ,0 g,7.6 g,0 g
Tortitas de maíz con chocolate negro Bicentury 93 g.,"2,49 €",13.0 g,454.0 Kcal,1912.0 KJ,1.5 g,75.0 g,7.6 g
Pizza 4 quesos ecológica Carrefour Bio 350 g.,"4,99 €",11 g,264 Kcal,1117 KJ,1.6 g,29 g,11 g
"Brócoli Findus 360 g,","2,69 €",0.5 g,35 Kcal,145 KJ,0.02 g,2.8 g,3.3 g
Chocolate negro 92% Valor sin gluten 170 g.,"3,75 €",50 g,573 Kcal,2366 KJ,0.16 g,13 g,12 g
Nocco mango del sol bebida energética lata 33 cl.,"2,49 €",0 g,4 Kcal,12 KJ,0 g,0 g,0.9 g
Croissants rellenos con crema de cacao Simply 360 g.,"1,60 €",29.0 g,483.0 Kcal,2016.0 KJ,0.65 g,49.0 g,5.5 g
Aceite de oliva virgen extra gran selección Carbonell 750 ml.,"10,89 €",100 g,900 Kcal,3700 KJ,0 g,0 g,0 g
Chocolate con leche con avellanas troceadas Milka 125 g.,"2,19 €",36 g,562 Kcal,2341 KJ,0.23 g,49 g,7.8 g
Tortitas con coco Inés Rosales 180 g.,"2,69 €",26 g,498 Kcal,2080 KJ,0 g,59 g,5.6 g
Caramelos sabor limón melisa sin azúcar Ricola 70 g.,"2,15 €",0 g,235 Kcal,990 KJ,0 g,96 g,0 g
Bombón chocolate con leche almendras y vainilla Carefour 8 ud.,"3,65 €",22 g,344 Kcal,1436 KJ,0.19 g,31 g,5 g
Gazpacho tradicional ecológico 1 l,"3,80 €",3.4 g,43.0 Kcal,178.0 KJ,0.91 g,2.1 g,0.6 g
Supremas de atún congelado Findus 230 g.,"8,79 €",0.5 g,96 Kcal,408 KJ,0.11 g,0 g,24 g
Conos con helado de nata y galleta Oreo 4 ud.,"5,35 €",20 g,347 Kcal,1448 KJ,0.09 g,38 g,3.4 g
Mousse natural azucarado Danone pack de 4 unidades de 65 g.,"2,95 €",9.5 g,172 Kcal,720 KJ,0.10 g,16.3 g,4.6 g
Champiñones laminados primera ecológico Carrefour Bio 124 g.,"2,45 €",1 g,30 Kcal,125 KJ,0.64 g,0.7 g,3 g
Alubia blanca cocida ecológica Pedro Luis 425 g.,"3,29 €",0.5 g,76.8 Kcal,323.5 KJ,0.9 g,11.3 g,5 g
Pan de molde sin corteza Carrefour 820 g.,"2,55 €",3.8 g,247 Kcal,1043 KJ,1.2 g,43 g,8.1 g
Rooibos con vainilla en bolsitas Pompadour 20 ud.,"2,99 €",0 g,1 Kcal,3 KJ,0 g,0 g,0 g
Postre a base de avellana con chocolate Alpro sin gluten pack de 2 unidades de 115 g.,"2,49 €",3.1 g,106 Kcal,446 KJ,0.14 g,17 g,1.3 g
Mini fuet Carrefour El Mercado sin gluten 50 g,"0,99 €",42 g,511 Kcal,2118 KJ,2.8 g,2.2 g,31 g
Galletas de chocolate digestive sin azúcares Zero Gullón 270 g.,"2,95 €",21 g,449 Kcal,1877 KJ,0.65 g,63 g,7.0 g
Ensalada mejicana de atún Calvo 150 g.,"1,56 €",7 g,139 Kcal,581 KJ,1 g,9 g,8 g
Yogur liquido con fresa y plátano Carrefour Classic´ sin gluten pack de 12 unidades de 100 g.,"2,69 €",1 g,70 Kcal,294 KJ,0.1 g,12 g,2.6 g
Garbanzos con espinacas Vegetal Litoral sin gluten 425 g.,"2,29 €",1.9 g,75 Kcal,316 KJ,0.66 g,9.3 g,3.9 g
Café molido natural Bourbon Saula 250 g.,"7,15 €",1 g,12 Kcal,53.24 KJ,0.01 g,3.1 g,4 g
